GenAspId;MaUSubs;MaUSelCons;MaUCom;SoUseFo;SoUseFe;SoUseBioconv;SoUseBiocont;SoUsePol;SoUsePet;SoUseCult;SoUseOth;ObtHar;ObtSHar;ObtPro;ContUtNA;ContUtCA;ContUtSA;ContUtAs;ContUtEu;ContUtOc;ContUtAf;MarYN;MarLoc;MarReg;MarNat;MarInt;MarMP;ScLS;ScMS;ScLaS;SocAccCSA;SocAccNA;SocAccAf;SocAccOc;SocAccEu;SocAccAs;LegPunc;LegLeg
28;0;0;3;0;0;0;0;0;0;2;3;1;2;3;0;3;1;0;0;0;0;0;0;0;0;3;Biomolecules;0;3;3;3;2;0;0;2;2;0;N.A.
29;1;2;2;2;1;0;0;0;0;2;0;0;2;2;0;3;2;0;0;0;0;0;1;1;1;0;Food;1;2;1;3;1;0;0;1;1;0;N.A.
30;0;0;3;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;Biocontrol;0;0;0;1;0;0;0;0;0;0;N.A.
31;1;2;3;3;1;0;0;0;0;3;0;2;1;1;0;3;1;0;0;0;0;0;3;3;2;0;Food;2;1;0;3;1;0;0;0;0;0;N.A.
32;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;N.A.
33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;N.A.
34;1;2;1;3;0;0;0;0;0;0;0;3;1;0;0;2;1;0;0;0;0;0;1;0;0;0;Food;1;0;0;2;0;0;0;0;0;0;N.A.
35;1;0;2;0;1;2;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;Feed;1;1;0;1;1;0;0;1;1;0;N.A.
36;0;2;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;Food;1;0;0;0;0;0;0;2;0;0;N.A.
37;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;0;0;0;0;3;2;0;N.A.
38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;2;0;0;0;0;0;0;N.A.
39;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;1;0;0;Food;1;0;0;0;0;3;0;0;0;0;N.A.
40;2;3;1;2;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;1;1;0;0;Food;1;0;0;0;0;1;0;0;2;0;N.A.
41;1;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;Food;0;0;0;1;0;0;0;0;0;0;N.A.
42;1;2;1;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;1;0;0;Food;0;0;0;0;0;3;0;0;0;0;N.A.
43;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;N.A.
44;1;2;2;2;1;0;0;0;0;0;0;2;1;0;0;2;2;0;0;0;0;0;2;1;1;0;Food;1;1;0;2;1;2;0;1;2;0;N.A.
45;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;1;1;0;Food;1;0;0;1;0;0;0;0;0;0;N.A.
46;3;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;1;2;2;0;Pollination;2;3;0;3;0;0;0;0;0;0;N.A.
47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;N.A.
48;1;2;2;2;2;1;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;Feed;1;2;0;1;1;1;1;1;1;0;N.A.
49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;N.A.
50;1;1;2;3;3;1;0;0;0;0;0;1;2;3;2;1;1;3;3;0;1;0;1;2;2;3;Feed;1;1;3;2;2;2;0;3;3;1;Reglamento de Ejecución (UE) 2023/58 de la Comisión de 5 de enero de 2023 por el que se autoriza la comercialización de las formas congelada, en pasta, desecada y en polvo de las larvas de Alphitobius diaperinus (escarabajo del estiércol) como nuevo alimento y se modifica el Reglamento de Ejecución (UE) 2017/2470 (Texto pertinente a efectos del EEE)
51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;2;2;0;0;0;0;0;N.A.
52;1;2;1;2;1;0;0;0;0;0;0;3;1;0;1;2;2;0;0;0;0;0;1;2;0;0;Food;2;1;0;1;1;0;0;0;0;0;N.A.
53;0;1;2;1;0;0;0;0;1;0;0;2;0;1;1;2;2;0;0;0;0;0;1;2;0;0;Food;1;1;0;1;0;0;0;0;0;0;N.A.
