GenAspId;ManSt;ManStSc;ManRu;ManRuSc;ManAg;ManAgSc;ManSoSt;ManSoStSc;ManHab;ManHabSc;ManTer;ManTerSc;ManTra;ManTraSc;ManFac;ManFacSc;NutFeed;NutFeedSc;NutCost;NutCostSc;RepSexMat;RepSexMatSc;RepNumbOff;RepNumbOffSc;RepCy;RepCySc;RepGestInc;RepGestIncSc;RepSexInt;RepSexIntSc;ProPopStu;ProPopStuSc;ProProf;ProProfSc;ProLong;ProLongSc;ProReL;ProReLSc;ProOpBre;ProOpBreSc;ProAddVal;ProAddValSc;MarCultAcc;MarCultAccSc;MarPri;MarPriSc;MarCompDom;MarCompDomSc;MarMarCha;MarMarChaSc;RegRest;RegRestSc
1;Middle;2;High;3;High;1;Gregaroius;2;Diurnal;1;Middle;2;Middle;2;Middle;2;Omnivore;3;Low;3;Late;1;High;3;Middle;2;Short;3;Polygamy;1;High;3;Middle;2;Short;1;High;3;Closed Cycle;3;Yes;1;High;3;Middle;2;Middle;2;Yes;1;No;1
2;High;1;High;3;High;1;Cologne;3;Diurnal;1;High;1;Difficult;1;Complex;1;Herbivorous;2;High;1;Middle;2;Low;1;High;3;Short;3;Polygamy;1;High;3;Late;1;Short;1;Middle;2;Mixed cycle;2;Yes;1;Middle;2;Middle;2;Low;1;Yes;1;No;1
3;Low;3;High;3;High;1;Gregaroius;2;Nocturnal;0;Low;3;Simple;3;Simple;3;Omnivore;3;Low;3;Early;3;Middle;2;High;3;Middle;2;Polygamy;1;Middle;2;Early;3;Middle;2;Low;1;Open cycle;1;No;0;Low;1;Low;3;Low;1;Yes;1;No;1
4;Low;3;High;3;High;1;Gregaroius;2;Nocturnal;0;Low;3;Simple;3;Simple;3;Omnivore;3;Low;3;Early;3;Middle;2;High;3;Middle;2;Polygamy;1;Middle;2;Early;3;Middle;2;Low;1;Open cycle;1;No;0;Low;1;Low;3;Low;1;Yes;1;No;1
5;Low;3;Middle;2;Middle;2;Solitaire;1;Nocturnal;0;Middle;2;Middle;2;Simple;3;Herbivorous;2;Middle;2;Middle;2;Middle;2;Middle;2;Short;3;Polygamy;1;High;3;Early;3;Short;1;High;3;Closed Cycle;3;Yes;1;High;3;Middle;2;High;3;Yes;1;No;1
6;Low;3;Middle;2;Middle;2;Solitaire;1;Diurnal;1;Low;3;Middle;2;Middle;2;Herbivorous;2;High;1;Middle;2;Low;1;Middle;2;Short;3;Monogamy;0;Middle;2;Late;1;Short;1;Middle;2;Open cycle;1;Yes;1;High;3;Middle;2;Low;1;Yes;1;No;1
7;Low;3;High;3;Low;3;Solitaire;1;Nocturnal;0;Middle;2;Middle;2;Middle;2;Xilophage;2;Middle;2;Late;1;Middle;2;Low;1;Short;3;Polygamy;1;Middle;2;Late;1;Long;3;Middle;2;Closed Cycle;3;Yes;1;High;3;High;1;Low;1;Yes;1;No;1
8;Middle;2;Middle;2;Middle;2;Solitaire;1;Nocturnal;0;Middle;2;Middle;2;Middle;2;Wax combs;1;High;1;Middle;2;High;3;Middle;2;Short;3;Monogamy;0;Middle;2;Early;3;Short;1;High;3;Closed Cycle;3;Yes;1;Middle;2;High;1;Low;1;Yes;1;No;1
9;Middle;2;High;3;High;1;Gregaroius;2;Diurnal;1;Middle;2;Middle;2;Middle;2;Omnivore;3;Low;3;Middle;2;High;3;Middle;2;Short;3;Polygamy;1;High;3;Middle;2;Short;1;High;3;Closed Cycle;3;Yes;1;High;3;Low;3;Low;1;Yes;1;No;1
10;Low;3;High;3;Middle;2;Solitaire;1;Diurnal;1;Low;3;Simple;3;Simple;3;Omnivore;3;Low;3;Early;3;High;3;High;3;Short;3;Polygamy;1;High;3;Early;3;Short;1;High;3;Closed Cycle;3;Yes;1;Middle;2;Low;3;Middle;2;Yes;1;No;1
11;High;1;Middle;2;High;1;Solitaire;1;Diurnal;1;High;1;Difficult;1;Complex;1;Carnivorous;1;High;1;Late;1;Low;1;Low;1;Short;3;Polygamy;1;High;3;Early;3;Middle;2;Middle;2;Mixed cycle;2;No;0;High;3;High;1;Low;1;Yes;1;No;1
12;Low;3;Middle;2;Middle;2;Solitaire;1;Diurnal;1;Middle;2;Difficult;1;Complex;1;Nectarivorous (Imago), Herbivorous (Larva);2;High;1;Late;1;Middle;2;Middle;2;Short;3;Monogamy;0;High;3;Late;1;Middle;2;High;3;Closed Cycle;3;Yes;1;High;3;High;1;Low;1;Yes;1;No;1
13;Low;3;High;3;High;1;Solitaire;1;Diurnal;1;Low;3;Simple;3;Simple;3;Omnivore;3;Low;3;Early;3;High;3;High;3;Short;3;Polygamy;1;High;3;Early;3;Short;1;High;3;Closed Cycle;3;No;0;Low;1;Middle;2;Middle;2;Yes;1;No;1
14;Middle;2;Middle;2;Low;3;Solitaire;1;Diurnal;1;High;1;Middle;2;Middle;2;Herbivorous;2;High;1;Late;1;Middle;2;Low;1;Short;3;Polygamy;1;High;3;Early;3;Long;3;Middle;2;Mixed cycle;2;Yes;1;Middle;2;Low;3;Low;1;Yes;1;No;1
15;Middle;2;Middle;2;High;1;Cologne;3;Diurnal;1;High;1;Difficult;1;Middle;2;Nectarivorous;1;Low;3;Early;3;Middle;2;High;3;Short;3;Polygamy;1;High;3;Late;1;Short;1;Middle;2;Closed Cycle;3;Yes;1;High;3;Middle;2;Low;1;Yes;1;No;1
16;Low;3;High;3;Middle;2;Gregaroius;2;Nocturnal;0;Middle;2;Simple;3;Simple;3;Omnivore;3;Low;3;Early;3;High;3;High;3;Short;3;Polygamy;1;High;3;Early;3;Short;1;High;3;Closed Cycle;3;Yes;1;High;3;Low;3;High;3;Yes;1;No;1
17;High;1;High;3;High;1;Solitaire;1;Diurnal;1;High;1;Middle;2;Complex;1;Carnivorous;1;High;1;Middle;2;Middle;2;High;3;Short;3;Polygamy;1;High;3;Late;1;Short;1;High;3;Mixed cycle;2;Yes;1;Middle;2;Middle;2;Low;1;Yes;1;No;1
18;Low;3;Middle;2;Middle;2;Gregaroius;2;Nocturnal;0;Middle;2;Simple;3;Simple;3;Omnivore;3;Low;3;Middle;2;High;3;High;3;Short;3;Polygamy;1;High;3;Early;3;Middle;2;Middle;2;Closed Cycle;3;Yes;1;Middle;2;Low;3;Middle;2;Yes;1;No;1
19;Low;3;Low;1;Low;3;Solitaire;1;Diurnal;1;Middle;2;Simple;3;Middle;2;Herbivorous;2;High;1;Late;1;Low;1;Low;1;Short;3;Polygamy;1;Low;1;Early;3;Long;3;Low;1;Mixed cycle;2;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
20;Low;3;High;3;Low;3;Solitaire;1;Nocturnal;0;Middle;2;Simple;3;Middle;2;Xilophage;2;High;1;Late;1;Low;1;Low;1;Short;3;Polygamy;1;Middle;2;Early;3;Long;3;Middle;2;Closed Cycle;3;Yes;1;High;3;High;1;Low;1;Yes;1;No;1
21;Low;3;High;3;Low;3;Solitaire;1;Nocturnal;0;Middle;2;Simple;3;Middle;2;Folivorous;2;High;1;Late;1;Low;1;Low;1;Short;3;Polygamy;1;Middle;2;Early;3;Long;3;Middle;2;Closed Cycle;3;Yes;1;High;3;High;1;Middle;2;Yes;1;No;1
22;Low;3;High;3;Low;3;Solitaire;1;Nocturnal;0;Middle;2;Simple;3;Middle;2;Folivorous;2;High;1;Late;1;Low;1;Low;1;Short;3;Polygamy;1;Middle;2;Early;3;Long;3;High;3;Closed Cycle;3;Yes;1;High;3;High;1;Low;1;Yes;1;No;1
23;Low;3;High;3;Low;3;Solitaire;1;Nocturnal;0;Middle;2;Simple;3;Middle;2;Folivorous;2;High;1;Late;1;Low;1;Low;1;Short;3;Polygamy;1;Middle;2;Early;3;Long;3;High;3;Closed Cycle;3;Yes;1;High;3;High;1;Low;1;Yes;1;No;1
24;Middle;2;Low;1;Middle;2;Solitaire;1;Nocturnal;0;Middle;2;Middle;2;Complex;1;Herbivorous;2;High;1;Late;1;Middle;2;Middle;2;Short;3;Polygamy;1;Low;1;Early;3;Middle;2;Low;1;Open cycle;1;No;0;Low;1;High;1;Low;1;Yes;1;No;1
25;Low;3;Low;1;Middle;2;Solitaire;1;Diurnal;1;Middle;2;Middle;2;Middle;2;Nectarivorous (Imago), Herbivorous (Larva);1;High;1;Late;1;Middle;2;Middle;2;Short;3;Polygamy;1;Low;1;Late;1;Middle;2;Low;1;Mixed cycle;2;Yes;1;High;3;Middle;2;Low;1;Yes;1;No;1
26;Low;3;Low;1;Middle;2;Solitaire;1;Diurnal;1;Middle;2;Difficult;1;Complex;1;Nectarivorous (Imago), Herbivorous (Larva);2;High;1;Late;1;Middle;2;Middle;2;Short;3;Polygamy;1;High;3;Late;1;Middle;2;Middle;2;Mixed cycle;2;Yes;1;High;3;High;1;Low;1;Yes;1;No;1
27;Low;3;Middle;2;Middle;2;Solitaire;1;Diurnal;1;Middle;2;Difficult;1;Complex;1;Nectarivorous (Imago), Herbivorous (Larva);2;High;1;Late;1;Middle;2;Middle;2;Short;3;Polygamy;1;High;3;Late;1;Middle;2;Middle;2;Mixed cycle;2;Yes;1;High;3;High;1;Low;1;Yes;1;No;1
28;Low;3;Middle;2;Low;3;Gregaroius;2;Nocturnal;0;High;1;Simple;3;Middle;2;Herbivorous;2;High;1;Middle;2;High;3;High;3;Short;3;Polygamy;1;High;3;Middle;2;Short;1;High;3;Open cycle;1;Yes;1;High;3;Middle;2;High;3;Yes;1;No;1
29;Middle;2;Middle;2;Low;3;Solitaire;1;Nocturnal;0;Middle;2;Simple;3;Middle;2;Herbivorous;2;High;1;Middle;2;Middle;2;Middle;2;Short;3;Polygamy;1;High;3;Middle;2;Middle;2;High;3;Open cycle;1;Yes;1;High;3;High;1;Middle;2;Yes;1;No;1
30;High;1;High;3;High;1;Solitaire;1;Diurnal;1;High;1;Difficult;1;Middle;2;Parasitoid;1;High;1;Early;3;Low;1;Middle;2;Short;3;Polygamy;1;Middle;2;Late;1;Middle;2;Middle;2;Open cycle;1;No;0;Low;1;High;1;Middle;2;Yes;1;No;1
31;Middle;2;High;3;High;1;Gregaroius;2;Diurnal;1;Middle;2;Middle;2;Middle;2;Herbivorous;2;Middle;2;Middle;2;High;3;Middle;2;Short;3;Polygamy;1;High;3;Middle;2;Short;1;Middle;2;Mixed cycle;2;Yes;1;Middle;2;Middle;2;Low;1;Yes;1;No;1
32;High;1;High;3;High;1;Solitaire;1;Diurnal;1;High;1;Middle;2;Middle;2;Carnivorous predator;1;High;1;Middle;2;High;3;High;3;Short;3;Monogamy;0;Low;1;Late;1;Short;1;Low;1;Open cycle;1;No;0;Low;1;Undetermined;0;Middle;2;No;0;No;1
33;Low;3;High;3;High;1;Solitaire;1;Diurnal;1;Low;3;Simple;3;Simple;3;Nectarivorous (Imago), Saprophagous (Larva);1;Low;3;Early;3;High;3;High;3;Short;3;Polygamy;1;Low;1;Early;3;Short;1;Low;1;Open cycle;1;No;0;Low;1;Undetermined;0;Middle;2;No;0;No;1
34;Middle;2;Middle;2;High;1;Solitaire;1;Nocturnal;0;Middle;2;Middle;2;Middle;2;Herbivorous;2;Middle;2;Middle;2;Middle;2;High;3;Short;3;Polygamy;1;Middle;2;Early;3;Middle;2;Middle;2;Mixed cycle;2;No;0;Middle;2;Undetermined;0;Low;1;No;0;No;1
35;Low;3;High;3;Middle;2;Gregaroius;2;Nocturnal;0;Low;3;Simple;3;Simple;3;Omnivore/ detrimental;3;Low;3;Early;3;High;3;High;3;Middle;2;Polygamy;1;High;3;Early;3;Middle;2;Middle;2;Mixed cycle;2;Yes;1;Low;1;Low;3;Low;1;Yes;1;No;1
36;High;1;High;3;High;1;Cologne;3;Nocturnal;0;High;1;Difficult;1;Complex;1;Granivorous/ Insectivorous;2;High;1;Middle;2;Middle;2;High;3;Short;3;Polygamy;1;High;3;Early;3;Short;1;Middle;2;Mixed cycle;2;No;0;Middle;2;Middle;2;Low;1;Yes;1;No;1
