GenAspId;ManSt;ManStSc;ManRu;ManRuSc;ManAg;ManAgSc;ManSoSt;ManSoStSc;ManHab;ManHabSc;ManTer;ManTerSc;ManTra;ManTraSc;ManFac;ManFacSc;NutFeed;NutFeedSc;NutCost;NutCostSc;RepSexMat;RepSexMatSc;RepNumbOff;RepNumbOffSc;RepCy;RepCySc;RepGestInc;RepGestIncSc;RepSexInt;RepSexIntSc;ProPopStu;ProPopStuSc;ProProf;ProProfSc;ProLong;ProLongSc;ProReL;ProReLSc;ProOpBre;ProOpBreSc;ProAddVal;ProAddValSc;MarCultAcc;MarCultAccSc;MarPri;MarPriSc;MarCompDom;MarCompDomSc;MarMarCha;MarMarChaSc;RegRest;RegRestSc
55;High;1;High;3;High;1;Cologne;3;Nocturnal;0;High;1;Difficult;1;Complex;1;Omnivore;3;Middle;2;Middle;2;High;3;High;3;Short;3;Polygamy;1;High;3;Early;3;Short;1;High;3;Mixed cycle;2;Yes;1;Middle;2;Undetermined;0;Low;1;Yes;1;No;1
56;High;1;High;3;High;1;Cologne;3;Diurnal;1;High;1;Difficult;1;Complex;1;Herbivorous;2;Middle;2;Late;1;Middle;2;High;3;Short;3;Polygamy;1;High;3;Early;3;Short;1;High;3;Mixed cycle;2;Yes;1;Low;1;Undetermined;0;Low;1;No;0;No;1
57;Low;3;High;3;Middle;2;Gregaroius;2;Nocturnal;0;Middle;2;Simple;3;Simple;3;Omnivore;3;Low;3;Early;3;High;3;High;3;Short;3;Polygamy;1;High;3;Late;1;Short;1;Middle;2;Closed Cycle;3;Yes;1;Middle;2;Low;3;Low;1;Yes;1;No;1
58;Low;3;High;3;Middle;2;Gregaroius;2;Nocturnal;0;Middle;2;Simple;3;Simple;3;Omnivore/ detrimental;3;Low;3;Middle;2;Middle;2;High;3;Middle;2;Polygamy;1;High;3;Early;3;Long;3;High;3;Mixed cycle;2;No;0;Low;1;Low;3;Middle;2;Yes;1;No;1
59;Low;3;High;3;Middle;2;Gregaroius;2;Nocturnal;0;Middle;2;Simple;3;Simple;3;Omnivore;3;Low;3;Middle;2;High;3;High;3;Short;3;Polygamy;1;High;3;Early;3;Middle;2;High;3;Closed Cycle;3;Yes;1;Middle;2;Low;3;Middle;2;Yes;1;No;1
60;Low;3;High;3;High;1;Solitaire;1;Diurnal;1;Low;3;Simple;3;Simple;3;Omnivore;3;Low;3;Early;3;High;3;High;3;Short;3;Polygamy;1;Middle;2;Early;3;Short;1;Middle;2;Open cycle;1;No;0;Low;1;Low;3;Low;1;Yes;1;No;1
61;Low;3;High;3;High;1;Solitaire;1;Diurnal;1;Low;3;Simple;3;Simple;3;Nectarivorous (Imago), Saprophagous (Larva);1;Low;3;Early;3;High;3;High;3;Short;3;Polygamy;1;Middle;2;Early;3;Short;1;Middle;2;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
62;Middle;2;Middle;2;High;1;Solitaire;1;Diurnal;1;Middle;2;Middle;2;Simple;3;Saprophagous and animals mucous menbrane secretions;1;High;1;Early;3;High;3;High;3;Short;3;Polygamy;1;High;3;Early;3;Short;1;High;3;Mixed cycle;2;No;0;Low;1;Undetermined;0;Middle;2;No;0;No;1
63;Middle;2;High;3;High;1;Gregaroius;2;Diurnal;1;Middle;2;Middle;2;Middle;2;Omnivore;3;Low;3;Middle;2;Middle;2;Middle;2;Short;3;Polygamy;1;High;3;Middle;2;Middle;2;High;3;Closed Cycle;3;No;0;Middle;2;Undetermined;0;Low;1;Yes;1;No;1
64;High;1;Low;1;Middle;2;Solitaire;1;Nocturnal;0;High;1;Difficult;1;Complex;1;Hematophagous;1;High;1;Middle;2;Low;1;Middle;2;Short;3;Polygamy;1;Low;1;Early;3;Middle;2;Low;1;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;Yes;1;No;1
65;Middle;2;Middle;2;Middle;2;Solitaire;1;Nocturnal;0;Middle;2;Middle;2;Middle;2;Nectarivorous (Imago), Herbivorous (Larva);2;Low;3;Middle;2;Middle;2;Middle;2;Short;3;Polygamy;1;Middle;2;Middle;2;Middle;2;Low;1;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;Yes;1;No;1
66;Low;3;Middle;2;Middle;2;Solitaire;1;Nocturnal;0;Middle;2;Middle;2;Middle;2;Nectarivorous (Imago), Herbivorous (Larva);2;Low;3;Middle;2;Middle;2;Middle;2;Short;3;Polygamy;1;Middle;2;Middle;2;Middle;2;Low;1;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
67;High;1;High;3;High;1;Gregaroius;2;Diurnal;1;High;1;Difficult;1;Complex;1;Omnivore;3;Low;3;Middle;2;High;3;High;3;Short;3;Polygamy;1;Middle;2;Early;3;Middle;2;Low;1;Open cycle;1;No;0;Middle;2;Middle;2;Low;1;Yes;1;No;1
68;Middle;2;High;3;High;1;Gregaroius;2;Diurnal;1;Middle;2;Middle;2;Middle;2;Omnivore;3;Low;3;Late;1;Low;1;Middle;2;Short;3;Polygamy;1;High;3;Middle;2;Middle;2;Low;1;Mixed cycle;2;Yes;1;Middle;2;Undetermined;0;Low;1;Yes;1;No;1
69;Middle;2;Low;1;High;1;Gregaroius;2;Nocturnal;0;Middle;2;Simple;3;Middle;2;Hematophagous;1;High;1;Early;3;Middle;2;High;3;Short;3;Polygamy;1;Low;1;Early;3;Short;1;Low;1;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
